na,na,na,na,0,na,0.28875
na,na,na,na,1,na,0.79375
na,na,na,na,2,na,0.25375
na,na,na,na,0,na,0.97875
na,na,na,na,0,na,0.28125
na,na,na,na,1,na,0.67625
na,na,na,na,2,na,0.15875
na,na,na,na,0,na,0.84375
na,na,na,na,1,na,0.26625
na,na,na,na,2,na,0.72625
na,na,na,na,0,na,0.18375
na,na,na,na,1,na,0.68625
na,na,na,na,0,na,0.21125
na,na,na,na,1,na,0.67125
na,na,na,na,2,na,0.35375
na,na,na,na,0,na,0.27875
na,na,na,na,1,na,0.64125
na,na,na,na,2,na,0.28375
na,na,na,na,0,na,0.76625
na,na,na,na,1,na,0.29125
na,na,na,na,2,na,0.80375
na,na,na,na,0,na,0.60125
na,na,na,na,1,na,0.39625
na,na,na,na,2,na,0.74125
na,na,na,na,0,na,0.36375
na,na,na,na,1,na,0.87875
na,na,na,na,2,na,0.16625
na,na,na,na,0,na,0.655
na,na,na,na,1,na,0.39625
na,na,na,na,2,na,0.60875
